=== Suite started at 2021-12-10 23:36:14
=== Starting test, 1586 test cases
=cases         1586
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.1331.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:16
=result        ok
=elapsed       0.195695
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.1347.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:16
=result        ok
=elapsed       0.173331
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.1363.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:16
=result        ok
=elapsed       0.113139
=case          ejabberd_SUITE:test_connect_bad_ns_stream
=logfile       ejabberd_suite.test_connect_bad_ns_stream.1379.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:16
=result        ok
=elapsed       0.112315
=case          ejabberd_SUITE:test_connect_bad_lang
=logfile       ejabberd_suite.test_connect_bad_lang.1395.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.144364
=case          ejabberd_SUITE:test_connect_bad_to
=logfile       ejabberd_suite.test_connect_bad_to.1411.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:16
=result        ok
=elapsed       0.111675
=case          ejabberd_SUITE:test_connect_missing_to
=logfile       ejabberd_suite.test_connect_missing_to.1427.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.144073
=case          ejabberd_SUITE:test_connect
=logfile       ejabberd_suite.test_connect.1443.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.188355
=case          ejabberd_SUITE:unauthenticated_iq
=logfile       ejabberd_suite.unauthenticated_iq.1459.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.048812
=case          ejabberd_SUITE:unauthenticated_message
=logfile       ejabberd_suite.unauthenticated_message.1475.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.002318
=case          ejabberd_SUITE:unauthenticated_presence
=logfile       ejabberd_suite.unauthenticated_presence.1491.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.001015
=case          ejabberd_SUITE:test_starttls
=logfile       ejabberd_suite.test_starttls.1507.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.006049
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.1523.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.123047
=case          ejabberd_SUITE:test_zlib
=logfile       ejabberd_suite.test_zlib.1555.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.039344
=case          ejabberd_SUITE:test_bind
=logfile       ejabberd_suite.test_bind.1539.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.104244
=case          ejabberd_SUITE:test_open_session
=logfile       ejabberd_suite.test_open_session.1571.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.101873
=case          ejabberd_SUITE:codec_failure
=logfile       ejabberd_suite.codec_failure.1683.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.102298
=case          ejabberd_SUITE:unsupported_query
=logfile       ejabberd_suite.unsupported_query.1587.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       0.142397
=case          ejabberd_SUITE:bad_nonza
=logfile       ejabberd_suite.bad_nonza.1715.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.147184
=case          ejabberd_SUITE:invalid_from
=logfile       ejabberd_suite.invalid_from.1603.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.103827
=case          ejabberd_SUITE:ping
=logfile       ejabberd_suite.ping.1699.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.195896
=case          ejabberd_SUITE:version
=logfile       ejabberd_suite.version.1619.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.240456
=case          ejabberd_SUITE:time
=logfile       ejabberd_suite.time.1635.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.25784
=case          ejabberd_SUITE:stats
=logfile       ejabberd_suite.stats.1651.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.13745
=case          ejabberd_SUITE:disco
=logfile       ejabberd_suite.disco.1667.html
=started       2021-12-10 23:36:16
=ended         2021-12-10 23:36:17
=result        ok
=elapsed       0.244402
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,anonymous},parallel]
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       4.0e-6
=group_time    1.432s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1522.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       0.017724
=case          ejabberd_SUITE:presence
=logfile       ejabberd_suite.presence.html
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       0.10498
=case          ejabberd_SUITE:s2s_dialback
=logfile       ejabberd_suite.s2s_dialback.html
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       0.164021
=case          ejabberd_SUITE:s2s_optional
=logfile       ejabberd_suite.s2s_optional.html
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       0.14672
=case          ejabberd_SUITE:s2s_required
=logfile       ejabberd_suite.s2s_required.html
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       0.15732
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1634.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       3.0e-6
=group_time    0.796s
=case          ejabberd_SUITE:auth_external
=logfile       ejabberd_suite.auth_external.html
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       0.005227
=case          ejabberd_SUITE:auth_external_no_jid
=logfile       ejabberd_suite.auth_external_no_jid.html
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       0.005156
=case          ejabberd_SUITE:auth_external_no_user
=logfile       ejabberd_suite.auth_external_no_user.html
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:18
=result        ok
=elapsed       0.004961
=case          ejabberd_SUITE:auth_external_malformed_jid
=logfile       ejabberd_suite.auth_external_malformed_jid.html
=started       2021-12-10 23:36:18
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       0.004363
=case          ejabberd_SUITE:auth_external_wrong_jid
=logfile       ejabberd_suite.auth_external_wrong_jid.html
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       0.005153
=case          ejabberd_SUITE:auth_external_wrong_server
=logfile       ejabberd_suite.auth_external_wrong_server.html
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       0.004292
=case          ejabberd_SUITE:auth_external_invalid_cert
=logfile       ejabberd_suite.auth_external_invalid_cert.html
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       0.004907
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2467.html
=group_props   [{name,jidprep_single},sequence]
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       1.0e-5
=case          ejabberd_SUITE:jidprep_feature_enabled
=logfile       ejabberd_suite.jidprep_feature_enabled.html
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       0.102915
=case          ejabberd_SUITE:jidprep_normalize_jid
=logfile       ejabberd_suite.jidprep_normalize_jid.html
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       0.106049
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1746.html
=group_props   [{name,jidprep_single},sequence]
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       1.5e-5
=group_time    0.300s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1762.html
=group_props   [{name,sm_single},sequence]
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:sm_feature_enabled
=logfile       ejabberd_suite.sm_feature_enabled.html
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       0.101745
=case          ejabberd_SUITE:sm_enable
=logfile       ejabberd_suite.sm_enable.html
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       0.009739
=case          ejabberd_SUITE:sm_resume
=logfile       ejabberd_suite.sm_resume.html
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:19
=result        ok
=elapsed       0.01582
=case          ejabberd_SUITE:sm_resume_failed
=logfile       ejabberd_suite.sm_resume_failed.html
=started       2021-12-10 23:36:19
=ended         2021-12-10 23:36:24
=result        ok
=elapsed       5.002202
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1842.html
=group_props   [{name,sm_single},sequence]
=started       2021-12-10 23:36:24
=ended         2021-12-10 23:36:24
=result        ok
=elapsed       4.0e-6
=group_time    5.283s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1858.html
=group_props   [{name,sm_master_slave},sequence]
=started       2021-12-10 23:36:24
=ended         2021-12-10 23:36:24
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1874.html
=group_props   [{name,sm_queue_limit},parallel]
=started       2021-12-10 23:36:24
=ended         2021-12-10 23:36:24
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:sm_queue_limit_master
=logfile       ejabberd_suite.sm_queue_limit_master.1890.html
=started       2021-12-10 23:36:24
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       0.211708
=case          ejabberd_SUITE:sm_queue_limit_slave
=logfile       ejabberd_suite.sm_queue_limit_slave.1906.html
=started       2021-12-10 23:36:24
=ended         2021-12-10 23:36:24
=result        ok
=elapsed       0.10645
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1954.html
=group_props   [{name,sm_queue_limit},parallel]
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       3.0e-6
=group_time    0.272s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1970.html
=group_props   [{name,sm_queue_limit_detached},parallel]
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:sm_queue_limit_detached_master
=logfile       ejabberd_suite.sm_queue_limit_detached_master.1986.html
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       0.109651
=case          ejabberd_SUITE:sm_queue_limit_detached_slave
=logfile       ejabberd_suite.sm_queue_limit_detached_slave.2002.html
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       0.001313
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2627.html
=group_props   [{name,sm_queue_limit_detached},parallel]
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       3.0e-6
=group_time    0.173s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2643.html
=group_props   [{name,sm_master_slave},sequence]
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       1.7e-5
=group_time    0.523s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2659.html
=group_props   [{name,muc_single},sequence]
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:muc_service_presence_error
=logfile       ejabberd_suite.muc_service_presence_error.html
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       0.104352
=case          ejabberd_SUITE:muc_service_message_error
=logfile       ejabberd_suite.muc_service_message_error.html
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       0.118333
=case          ejabberd_SUITE:muc_service_unknown_ns_iq_error
=logfile       ejabberd_suite.muc_service_unknown_ns_iq_error.html
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       0.104172
=case          ejabberd_SUITE:muc_service_iq_set_error
=logfile       ejabberd_suite.muc_service_iq_set_error.html
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:25
=result        ok
=elapsed       0.118636
=case          ejabberd_SUITE:muc_service_improper_iq_error
=logfile       ejabberd_suite.muc_service_improper_iq_error.html
=started       2021-12-10 23:36:25
=ended         2021-12-10 23:36:26
=result        ok
=elapsed       0.105981
=case          ejabberd_SUITE:muc_service_features
=logfile       ejabberd_suite.muc_service_features.html
=started       2021-12-10 23:36:26
=ended         2021-12-10 23:36:26
=result        ok
=elapsed       0.102432
=case          ejabberd_SUITE:muc_service_disco_info_node_error
=logfile       ejabberd_suite.muc_service_disco_info_node_error.html
=started       2021-12-10 23:36:26
=ended         2021-12-10 23:36:26
=result        ok
=elapsed       0.102077
=case          ejabberd_SUITE:muc_service_disco_items
=logfile       ejabberd_suite.muc_service_disco_items.html
=started       2021-12-10 23:36:26
=ended         2021-12-10 23:36:26
=result        ok
=elapsed       0.12151
=case          ejabberd_SUITE:muc_service_unique
=logfile       ejabberd_suite.muc_service_unique.html
=started       2021-12-10 23:36:26
=ended         2021-12-10 23:36:26
=result        ok
=elapsed       0.102042
=case          ejabberd_SUITE:muc_service_vcard
=logfile       ejabberd_suite.muc_service_vcard.html
=started       2021-12-10 23:36:26
=ended         2021-12-10 23:36:26
=result        ok
=elapsed       0.102678
=case          ejabberd_SUITE:muc_configure_non_existent
=logfile       ejabberd_suite.muc_configure_non_existent.html
=started       2021-12-10 23:36:26
=ended         2021-12-10 23:36:26
=result        ok
=elapsed       0.109635
=case          ejabberd_SUITE:muc_cancel_configure_non_existent
=logfile       ejabberd_suite.muc_cancel_configure_non_existent.html
=started       2021-12-10 23:36:26
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       0.102513
=case          ejabberd_SUITE:muc_service_subscriptions
=logfile       ejabberd_suite.muc_service_subscriptions.html
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       0.12719
=case          ejabberd_SUITE:muc_set_room_affiliation
=logfile       ejabberd_suite.muc_set_room_affiliation.html
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       0.107111
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2242.html
=group_props   [{name,muc_single},sequence]
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       5.0e-6
=group_time    2.007s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2258.html
=group_props   [{name,muc_master_slave},sequence]
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2274.html
=group_props   [{name,muc_register},parallel]
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:muc_register_master
=logfile       ejabberd_suite.muc_register_master.2290.html
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       0.115161
=case          ejabberd_SUITE:muc_register_slave
=logfile       ejabberd_suite.muc_register_slave.2306.html
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       0.113591
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3107.html
=group_props   [{name,muc_register},parallel]
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       9.0e-6
=group_time    0.175s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3123.html
=group_props   [{name,muc_groupchat_msg},parallel]
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       7.0e-6
=case          ejabberd_SUITE:muc_groupchat_msg_master
=logfile       ejabberd_suite.muc_groupchat_msg_master.3139.html
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       0.11501
=case          ejabberd_SUITE:muc_groupchat_msg_slave
=logfile       ejabberd_suite.muc_groupchat_msg_slave.3155.html
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       0.113017
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2418.html
=group_props   [{name,muc_groupchat_msg},parallel]
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       1.0e-5
=group_time    0.178s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2434.html
=group_props   [{name,muc_private_msg},parallel]
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:muc_private_msg_master
=logfile       ejabberd_suite.muc_private_msg_master.2450.html
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       0.107971
=case          ejabberd_SUITE:muc_private_msg_slave
=logfile       ejabberd_suite.muc_private_msg_slave.2466.html
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       0.108098
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2546.html
=group_props   [{name,muc_private_msg},parallel]
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       3.0e-6
=group_time    0.170s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2562.html
=group_props   [{name,muc_set_subject},parallel]
=started       2021-12-10 23:36:27
=ended         2021-12-10 23:36:27
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_set_subject_master
=logfile       ejabberd_suite.muc_set_subject_master.2578.html
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       0.112806
=case          ejabberd_SUITE:muc_set_subject_slave
=logfile       ejabberd_suite.muc_set_subject_slave.2594.html
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       0.112265
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2626.html
=group_props   [{name,muc_set_subject},parallel]
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       2.0e-6
=group_time    0.176s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2642.html
=group_props   [{name,muc_history},parallel]
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_history_master
=logfile       ejabberd_suite.muc_history_master.2658.html
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       0.137857
=case          ejabberd_SUITE:muc_history_slave
=logfile       ejabberd_suite.muc_history_slave.2674.html
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       0.137157
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3315.html
=group_props   [{name,muc_history},parallel]
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       3.0e-6
=group_time    0.200s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3331.html
=group_props   [{name,muc_invite},parallel]
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       3.0e-6
=case          ejabberd_SUITE:muc_invite_master
=logfile       ejabberd_suite.muc_invite_master.3347.html
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       0.105852
=case          ejabberd_SUITE:muc_invite_slave
=logfile       ejabberd_suite.muc_invite_slave.3363.html
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       0.10278
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2786.html
=group_props   [{name,muc_invite},parallel]
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       3.0e-6
=group_time    0.167s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2802.html
=group_props   [{name,muc_invite_members_only},parallel]
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_invite_members_only_master
=logfile       ejabberd_suite.muc_invite_members_only_master.2818.html
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       0.107076
=case          ejabberd_SUITE:muc_invite_members_only_slave
=logfile       ejabberd_suite.muc_invite_members_only_slave.2834.html
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       0.106319
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2866.html
=group_props   [{name,muc_invite_members_only},parallel]
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       3.0e-6
=group_time    0.169s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2882.html
=group_props   [{name,muc_invite_password_protected},parallel]
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_invite_password_protected_master
=logfile       ejabberd_suite.muc_invite_password_protected_master.2898.html
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       0.105636
=case          ejabberd_SUITE:muc_invite_password_protected_slave
=logfile       ejabberd_suite.muc_invite_password_protected_slave.2914.html
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       0.107465
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3507.html
=group_props   [{name,muc_invite_password_protected},parallel]
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:28
=result        ok
=elapsed       8.0e-6
=group_time    0.170s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3523.html
=group_props   [{name,muc_voice_request},parallel]
=started       2021-12-10 23:36:28
=ended         2021-12-10 23:36:29
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_voice_request_master
=logfile       ejabberd_suite.muc_voice_request_master.3539.html
=started       2021-12-10 23:36:29
=ended         2021-12-10 23:36:29
=result        ok
=elapsed       0.115708
=case          ejabberd_SUITE:muc_voice_request_slave
=logfile       ejabberd_suite.muc_voice_request_slave.3555.html
=started       2021-12-10 23:36:29
=ended         2021-12-10 23:36:29
=result        ok
=elapsed       0.11273
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3635.html
=group_props   [{name,muc_voice_request},parallel]
=started       2021-12-10 23:36:29
=ended         2021-12-10 23:36:29
=result        ok
=elapsed       3.0e-6
=group_time    0.178s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3651.html
=group_props   [{name,muc_change_role},parallel]
=started       2021-12-10 23:36:29
=ended         2021-12-10 23:36:29
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:muc_change_role_master
=logfile       ejabberd_suite.muc_change_role_master.3667.html
=started       2021-12-10 23:36:29
=ended         2021-12-10 23:36:29
=result        ok
=elapsed       0.112571
=case          ejabberd_SUITE:muc_change_role_slave
=logfile       ejabberd_suite.muc_change_role_slave.3683.html
=started       2021-12-10 23:36:29
=ended         2021-12-10 23:36:29
=result        ok
=elapsed       0.111763
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2994.html
=group_props   [{name,muc_change_role},parallel]
=started       2021-12-10 23:36:29
=ended         2021-12-10 23:36:29
=result        ok
=elapsed       4.0e-6
=group_time    0.177s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3010.html
