=== Suite started at 2021-12-11 00:10:31
=== Starting test, 1586 test cases
=cases         1586
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.947.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.170082
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.931.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.298287
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.963.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.148385
=case          ejabberd_SUITE:test_connect_bad_ns_stream
=logfile       ejabberd_suite.test_connect_bad_ns_stream.979.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.14498
=case          ejabberd_SUITE:test_connect_bad_lang
=logfile       ejabberd_suite.test_connect_bad_lang.995.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.201164
=case          ejabberd_SUITE:test_connect_bad_to
=logfile       ejabberd_suite.test_connect_bad_to.1011.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.175615
=case          ejabberd_SUITE:test_connect_missing_to
=logfile       ejabberd_suite.test_connect_missing_to.1027.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.202953
=case          ejabberd_SUITE:test_connect
=logfile       ejabberd_suite.test_connect.1043.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.254797
=case          ejabberd_SUITE:unauthenticated_iq
=logfile       ejabberd_suite.unauthenticated_iq.1059.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.066958
=case          ejabberd_SUITE:unauthenticated_message
=logfile       ejabberd_suite.unauthenticated_message.1075.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.003962
=case          ejabberd_SUITE:unauthenticated_presence
=logfile       ejabberd_suite.unauthenticated_presence.1091.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       7.96e-4
=case          ejabberd_SUITE:test_starttls
=logfile       ejabberd_suite.test_starttls.1107.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.02
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.1123.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.161028
=case          ejabberd_SUITE:test_zlib
=logfile       ejabberd_suite.test_zlib.1139.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.115102
=case          ejabberd_SUITE:test_bind
=logfile       ejabberd_suite.test_bind.1155.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.110728
=case          ejabberd_SUITE:test_open_session
=logfile       ejabberd_suite.test_open_session.1171.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.10613
=case          ejabberd_SUITE:codec_failure
=logfile       ejabberd_suite.codec_failure.1187.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.106282
=case          ejabberd_SUITE:unsupported_query
=logfile       ejabberd_suite.unsupported_query.1203.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.245902
=case          ejabberd_SUITE:bad_nonza
=logfile       ejabberd_suite.bad_nonza.1219.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.144239
=case          ejabberd_SUITE:invalid_from
=logfile       ejabberd_suite.invalid_from.1235.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.103285
=case          ejabberd_SUITE:ping
=logfile       ejabberd_suite.ping.1251.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.216351
=case          ejabberd_SUITE:version
=logfile       ejabberd_suite.version.1267.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:35
=result        ok
=elapsed       0.139184
=case          ejabberd_SUITE:time
=logfile       ejabberd_suite.time.1283.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.350812
=case          ejabberd_SUITE:stats
=logfile       ejabberd_suite.stats.1299.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.172503
=case          ejabberd_SUITE:disco
=logfile       ejabberd_suite.disco.1315.html
=started       2021-12-11 00:10:33
=ended         2021-12-11 00:10:34
=result        ok
=elapsed       0.232924
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,anonymous},parallel]
=started       2021-12-11 00:10:35
=ended         2021-12-11 00:10:35
=result        ok
=elapsed       4.0e-6
=group_time    1.414s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2210.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2021-12-11 00:10:35
=ended         2021-12-11 00:10:35
=result        ok
=elapsed       7.0e-6
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2021-12-11 00:10:35
=ended         2021-12-11 00:10:35
=result        ok
=elapsed       0.027739
=case          ejabberd_SUITE:presence
=logfile       ejabberd_suite.presence.html
=started       2021-12-11 00:10:35
=ended         2021-12-11 00:10:35
=result        ok
=elapsed       0.106377
=case          ejabberd_SUITE:s2s_dialback
=logfile       ejabberd_suite.s2s_dialback.html
=started       2021-12-11 00:10:35
=ended         2021-12-11 00:10:35
=result        ok
=elapsed       0.275501
=case          ejabberd_SUITE:s2s_optional
=logfile       ejabberd_suite.s2s_optional.html
=started       2021-12-11 00:10:35
=ended         2021-12-11 00:10:35
=result        ok
=elapsed       0.189384
=case          ejabberd_SUITE:s2s_required
=logfile       ejabberd_suite.s2s_required.html
=started       2021-12-11 00:10:35
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       0.156885
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1731.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       4.0e-6
=group_time    1.004s
=case          ejabberd_SUITE:auth_external
=logfile       ejabberd_suite.auth_external.html
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       0.009245
=case          ejabberd_SUITE:auth_external_no_jid
=logfile       ejabberd_suite.auth_external_no_jid.html
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       0.008672
=case          ejabberd_SUITE:auth_external_no_user
=logfile       ejabberd_suite.auth_external_no_user.html
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       0.007296
=case          ejabberd_SUITE:auth_external_malformed_jid
=logfile       ejabberd_suite.auth_external_malformed_jid.html
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       0.008775
=case          ejabberd_SUITE:auth_external_wrong_jid
=logfile       ejabberd_suite.auth_external_wrong_jid.html
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       0.006173
=case          ejabberd_SUITE:auth_external_wrong_server
=logfile       ejabberd_suite.auth_external_wrong_server.html
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       0.006489
=case          ejabberd_SUITE:auth_external_invalid_cert
=logfile       ejabberd_suite.auth_external_invalid_cert.html
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       0.007431
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2354.html
=group_props   [{name,jidprep_single},sequence]
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:jidprep_feature_enabled
=logfile       ejabberd_suite.jidprep_feature_enabled.html
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       0.103191
=case          ejabberd_SUITE:jidprep_normalize_jid
=logfile       ejabberd_suite.jidprep_normalize_jid.html
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       0.114106
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2402.html
=group_props   [{name,jidprep_single},sequence]
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       4.0e-6
=group_time    0.342s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2418.html
=group_props   [{name,sm_single},sequence]
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:36
=result        ok
=elapsed       7.0e-6
=case          ejabberd_SUITE:sm_feature_enabled
=logfile       ejabberd_suite.sm_feature_enabled.html
=started       2021-12-11 00:10:36
=ended         2021-12-11 00:10:37
=result        ok
=elapsed       0.101356
=case          ejabberd_SUITE:sm_enable
=logfile       ejabberd_suite.sm_enable.html
=started       2021-12-11 00:10:37
=ended         2021-12-11 00:10:37
=result        ok
=elapsed       0.012834
=case          ejabberd_SUITE:sm_resume
=logfile       ejabberd_suite.sm_resume.html
=started       2021-12-11 00:10:37
=ended         2021-12-11 00:10:37
=result        ok
=elapsed       0.029025
=case          ejabberd_SUITE:sm_resume_failed
=logfile       ejabberd_suite.sm_resume_failed.html
=started       2021-12-11 00:10:37
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       5.002271
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2530.html
=group_props   [{name,sm_single},sequence]
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       1.0e-5
=group_time    5.320s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2546.html
=group_props   [{name,sm_master_slave},sequence]
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       7.0e-6
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2562.html
=group_props   [{name,sm_queue_limit},parallel]
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:sm_queue_limit_master
=logfile       ejabberd_suite.sm_queue_limit_master.2578.html
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       0.217682
=case          ejabberd_SUITE:sm_queue_limit_slave
=logfile       ejabberd_suite.sm_queue_limit_slave.2594.html
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       0.113927
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1875.html
=group_props   [{name,sm_queue_limit},parallel]
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       2.6e-5
=group_time    0.287s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2658.html
=group_props   [{name,sm_queue_limit_detached},parallel]
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:sm_queue_limit_detached_master
=logfile       ejabberd_suite.sm_queue_limit_detached_master.1891.html
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       0.113796
=case          ejabberd_SUITE:sm_queue_limit_detached_slave
=logfile       ejabberd_suite.sm_queue_limit_detached_slave.1907.html
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       0.001633
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2722.html
=group_props   [{name,sm_queue_limit_detached},parallel]
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       5.0e-6
=group_time    0.181s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2738.html
=group_props   [{name,sm_master_slave},sequence]
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       1.7e-5
=group_time    0.553s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2754.html
=group_props   [{name,muc_single},sequence]
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:muc_service_presence_error
=logfile       ejabberd_suite.muc_service_presence_error.html
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:42
=result        ok
=elapsed       0.10505
=case          ejabberd_SUITE:muc_service_message_error
=logfile       ejabberd_suite.muc_service_message_error.html
=started       2021-12-11 00:10:42
=ended         2021-12-11 00:10:43
=result        ok
=elapsed       0.124795
=case          ejabberd_SUITE:muc_service_unknown_ns_iq_error
=logfile       ejabberd_suite.muc_service_unknown_ns_iq_error.html
=started       2021-12-11 00:10:43
=ended         2021-12-11 00:10:43
=result        ok
=elapsed       0.105352
=case          ejabberd_SUITE:muc_service_iq_set_error
=logfile       ejabberd_suite.muc_service_iq_set_error.html
=started       2021-12-11 00:10:43
=ended         2021-12-11 00:10:43
=result        ok
=elapsed       0.16655
=case          ejabberd_SUITE:muc_service_improper_iq_error
=logfile       ejabberd_suite.muc_service_improper_iq_error.html
=started       2021-12-11 00:10:43
=ended         2021-12-11 00:10:43
=result        ok
=elapsed       0.109579
=case          ejabberd_SUITE:muc_service_features
=logfile       ejabberd_suite.muc_service_features.html
=started       2021-12-11 00:10:43
=ended         2021-12-11 00:10:43
=result        ok
=elapsed       0.103037
=case          ejabberd_SUITE:muc_service_disco_info_node_error
=logfile       ejabberd_suite.muc_service_disco_info_node_error.html
=started       2021-12-11 00:10:43
=ended         2021-12-11 00:10:43
=result        ok
=elapsed       0.102802
=case          ejabberd_SUITE:muc_service_disco_items
=logfile       ejabberd_suite.muc_service_disco_items.html
=started       2021-12-11 00:10:43
=ended         2021-12-11 00:10:44
=result        ok
=elapsed       0.131379
=case          ejabberd_SUITE:muc_service_unique
=logfile       ejabberd_suite.muc_service_unique.html
=started       2021-12-11 00:10:44
=ended         2021-12-11 00:10:44
=result        ok
=elapsed       0.102352
=case          ejabberd_SUITE:muc_service_vcard
=logfile       ejabberd_suite.muc_service_vcard.html
=started       2021-12-11 00:10:44
=ended         2021-12-11 00:10:44
=result        ok
=elapsed       0.102922
=case          ejabberd_SUITE:muc_configure_non_existent
=logfile       ejabberd_suite.muc_configure_non_existent.html
=started       2021-12-11 00:10:44
=ended         2021-12-11 00:10:44
=result        ok
=elapsed       0.112114
=case          ejabberd_SUITE:muc_cancel_configure_non_existent
=logfile       ejabberd_suite.muc_cancel_configure_non_existent.html
=started       2021-12-11 00:10:44
=ended         2021-12-11 00:10:44
=result        ok
=elapsed       0.103654
=case          ejabberd_SUITE:muc_service_subscriptions
=logfile       ejabberd_suite.muc_service_subscriptions.html
=started       2021-12-11 00:10:44
=ended         2021-12-11 00:10:44
=result        ok
=elapsed       0.137326
=case          ejabberd_SUITE:muc_set_room_affiliation
=logfile       ejabberd_suite.muc_set_room_affiliation.html
=started       2021-12-11 00:10:44
=ended         2021-12-11 00:10:44
=result        ok
=elapsed       0.108915
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2195.html
=group_props   [{name,muc_single},sequence]
=started       2021-12-11 00:10:44
=ended         2021-12-11 00:10:44
=result        ok
=elapsed       7.0e-6
=group_time    2.142s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2211.html
=group_props   [{name,muc_master_slave},sequence]
=started       2021-12-11 00:10:44
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       7.0e-6
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2227.html
=group_props   [{name,muc_register},parallel]
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_register_master
=logfile       ejabberd_suite.muc_register_master.2243.html
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       0.126252
=case          ejabberd_SUITE:muc_register_slave
=logfile       ejabberd_suite.muc_register_slave.2259.html
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       0.122508
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2307.html
=group_props   [{name,muc_register},parallel]
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       2.0e-6
=group_time    0.193s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2323.html
=group_props   [{name,muc_groupchat_msg},parallel]
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_groupchat_msg_master
=logfile       ejabberd_suite.muc_groupchat_msg_master.2339.html
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       0.129493
=case          ejabberd_SUITE:muc_groupchat_msg_slave
=logfile       ejabberd_suite.muc_groupchat_msg_slave.2355.html
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       0.125518
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3186.html
=group_props   [{name,muc_groupchat_msg},parallel]
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       5.0e-6
=group_time    0.196s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3202.html
=group_props   [{name,muc_private_msg},parallel]
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:muc_private_msg_master
=logfile       ejabberd_suite.muc_private_msg_master.3218.html
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       0.11291
=case          ejabberd_SUITE:muc_private_msg_slave
=logfile       ejabberd_suite.muc_private_msg_slave.3234.html
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       0.108647
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3298.html
=group_props   [{name,muc_private_msg},parallel]
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       1.5e-5
=group_time    0.179s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3314.html
=group_props   [{name,muc_set_subject},parallel]
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_set_subject_master
=logfile       ejabberd_suite.muc_set_subject_master.3330.html
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       0.118778
=case          ejabberd_SUITE:muc_set_subject_slave
=logfile       ejabberd_suite.muc_set_subject_slave.3346.html
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       0.118645
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3394.html
=group_props   [{name,muc_set_subject},parallel]
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       1.4e-5
=group_time    0.189s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3410.html
=group_props   [{name,muc_history},parallel]
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:45
=result        ok
=elapsed       3.0e-6
=case          ejabberd_SUITE:muc_history_master
=logfile       ejabberd_suite.muc_history_master.3426.html
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       0.156109
=case          ejabberd_SUITE:muc_history_slave
=logfile       ejabberd_suite.muc_history_slave.3442.html
=started       2021-12-11 00:10:45
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       0.153328
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3506.html
=group_props   [{name,muc_history},parallel]
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       4.0e-6
=group_time    0.225s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3522.html
=group_props   [{name,muc_invite},parallel]
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_invite_master
=logfile       ejabberd_suite.muc_invite_master.2547.html
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       0.108511
=case          ejabberd_SUITE:muc_invite_slave
=logfile       ejabberd_suite.muc_invite_slave.3538.html
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       0.109041
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3618.html
=group_props   [{name,muc_invite},parallel]
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       4.0e-6
=group_time    0.180s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3634.html
=group_props   [{name,muc_invite_members_only},parallel]
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_invite_members_only_master
=logfile       ejabberd_suite.muc_invite_members_only_master.2579.html
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       0.109687
=case          ejabberd_SUITE:muc_invite_members_only_slave
=logfile       ejabberd_suite.muc_invite_members_only_slave.3650.html
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       0.108624
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3698.html
=group_props   [{name,muc_invite_members_only},parallel]
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       3.0e-6
=group_time    0.181s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3714.html
=group_props   [{name,muc_invite_password_protected},parallel]
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       2.0e-5
=case          ejabberd_SUITE:muc_invite_password_protected_master
=logfile       ejabberd_suite.muc_invite_password_protected_master.2643.html
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       0.10941
=case          ejabberd_SUITE:muc_invite_password_protected_slave
=logfile       ejabberd_suite.muc_invite_password_protected_slave.2659.html
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       0.108912
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2739.html
=group_props   [{name,muc_invite_password_protected},parallel]
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       4.0e-6
=group_time    0.183s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2755.html
=group_props   [{name,muc_voice_request},parallel]
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:muc_voice_request_master
=logfile       ejabberd_suite.muc_voice_request_master.2771.html
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       0.121696
=case          ejabberd_SUITE:muc_voice_request_slave
=logfile       ejabberd_suite.muc_voice_request_slave.2787.html
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       0.118106
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3794.html
=group_props   [{name,muc_voice_request},parallel]
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:46
=result        ok
=elapsed       4.0e-6
=group_time    0.189s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2835.html
=group_props   [{name,muc_change_role},parallel]
=started       2021-12-11 00:10:46
=ended         2021-12-11 00:10:47
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_change_role_master
=logfile       ejabberd_suite.muc_change_role_master.2851.html
=started       2021-12-11 00:10:47
=ended         2021-12-11 00:10:47
=result        ok
=elapsed       0.119653
=case          ejabberd_SUITE:muc_change_role_slave
=logfile       ejabberd_suite.muc_change_role_slave.3810.html
=started       2021-12-11 00:10:47
=ended         2021-12-11 00:10:47
=result        ok
=elapsed       0.116652
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2915.html
=group_props   [{name,muc_change_role},parallel]
=started       2021-12-11 00:10:47
=ended         2021-12-11 00:10:47
=result        ok
=elapsed       1.0e-5
=group_time    0.188s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2931.html
=group_props   [{name,muc_kick},parallel]
